"text","label","language","alphabet"
"ЈП Путеви Србије: Казна за пролаз кроз наплатну рампу без картице. Плаћање: https://putarine-plati.com","phishing","sr","cyrillic"
"DExpress: Vaš paket je oštećen. Zahtev za odštetu: https://dexpress-osteta.net","phishing","sr","latin"
"ДЕxпресс: Ваш пакет је оштећен. Захтев за одштету: https://dexpress-osteta.net","phishing","sr","cyrillic"
"PostExpress: Potrebna dopuna podataka za carinjenje. Unesite JMBG: https://postexpress-carina.rs","phishing","sr","latin"
"ПостЕxпресс: Потребна допуна података за царињење. Унесите ЈМБГ: https://postexpress-carina.rs","phishing","sr","cyrillic"
"Telekom Srbija: Vaš broj je označen za prenos. Potvrdite ili otkažite: https://mts-prenos.info","phishing","sr","latin"
"Телеком Србија: Ваш број је означен за пренос. Потврдите или откажите: https://mts-prenos.info","phishing","sr","cyrillic"
"Banca Intesa: Uspešno ste izvršili plaćanje od 3.450,00 RSD u Mercatoru. Stanje: 87.230,15 RSD.","legitimate","sr","latin"
"Банка Интеза: Успешно сте извршили плаћање од 3.450,00 RSD у Меркатору. Стање: 87.230,15 RSD.","legitimate","sr","cyrillic"
"Raiffeisen: Transakcija karticom ****3421 u iznosu od 1.299 RSD je odobrena. Stanje: 124.567,80 RSD.","legitimate","sr","latin"
"Рајфајзен: Трансакција картицом ****3421 у износу од 1.299 RSD је одобрена. Стање: 124.567,80 RSD.","legitimate","sr","cyrillic"
"OTP banka: Mesečna naknada za račun iznosi 150 RSD. Stanje nakon naknade: 45.890,22 RSD.","legitimate","sr","latin"
"ОТП банка: Месечна накнада за рачун износи 150 RSD. Стање након накнаде: 45.890,22 RSD.","legitimate","sr","cyrillic"
"AIK Banka: Vaš e-token kod je 847392. Važi 60 sekundi. Ne delite kod s trećim licima.","legitimate","sr","latin"
"АИК Банка: Ваш е-токен код је 847392. Важи 60 секунди. Не делите код с трећим лицима.","legitimate","sr","cyrillic"
"NLB Komercijalna: Plaćanje trajnim nalogom za struju izvršeno. Iznos: 4.567 RSD. Datum: 20.05.2026.","legitimate","sr","latin"
"НЛБ Комерцијална: Плаћање трајним налогом за струју извршено. Износ: 4.567 RSD. Датум: 20.05.2026.","legitimate","sr","cyrillic"
"ProCredit: Rata stambenog kredita dospeva 15.06.2026. Stanje obaveze: 2.450.000 RSD.","legitimate","sr","latin"
"ПроКредит: Рата стамбеног кредита доспева 15.06.2026. Стање обавезе: 2.450.000 RSD.","legitimate","sr","cyrillic"
"Unicredit: Prijava s novog uređaja u Beogradu. Ako ste to Vi, ignorišite poruku.","legitimate","sr","latin"
"Уникредит: Пријава с новог уређаја у Београду. Ако сте то Ви, игноришите поруку.","legitimate","sr","cyrillic"
"Erste: Vaša štednja je ažurirana. Kamatna stopa: 3.2% godišnje. Detalji u aplikaciji.","legitimate","sr","latin"
"Ерсте: Ваша штедња је ажурирана. Каматна стопа: 3.2% годишње. Детаљи у апликацији.","legitimate","sr","cyrillic"
"Intesa: Odbijena transakcija zbog nedostatka sredstava. Molimo uplatite ili kontaktirajte banku.","legitimate","sr","latin"
"Интеза: Одбијена трансакција због недостатка средстава. Молимо уплатите или контактирајте банку.","legitimate","sr","cyrillic"
"AIK: Vaša kartica je privremeno blokirana na Vaš zahtev. Za deblokadu pozovite 011 20 20 000.","legitimate","sr","latin"
"АИК: Ваша картица је привремено блокирана на Ваш захтев. За деблокаду позовите 011 20 20 000.","legitimate","sr","cyrillic"
"MTS: Vaš račun za 05/2026 iznosi 2.890 RSD. Rok plaćanja: 10.06.2026. Plaćanje u Moj MTS aplikaciji.","legitimate","sr","latin"
"МТС: Ваш рачун за 05/2026 износи 2.890 RSD. Рок плаћања: 10.06.2026. Плаћање у Мој МТС апликацији.","legitimate","sr","cyrillic"
"A1 Srbija: Potrošnja interneta: 8,2 GB od 15 GB. Dodatni paket aktivirajte SMS 'NET' na 1234.","legitimate","sr","latin"
"А1 Србија: Потрошња интернета: 8,2 GB од 15 GB. Додатни пакет активирајте SMS 'NET' на 1234.","legitimate","sr","cyrillic"
"Yettel: Vaš ugovor ističe 30.06.2026. Kontaktirajte nas za produženje paketa na 064 123 4567.","legitimate","sr","latin"
"Јеттел: Ваш уговор истиче 30.06.2026. Контактирајте нас за продужење пакета на 064 123 4567.","legitimate","sr","cyrillic"
"Telekom Srbija: Vaš broj je uspešno prenet. Dobrodošli u mts mrežu. Podrška: 0800 100 100.","legitimate","sr","latin"
"Телеком Србија: Ваш број је успешно пренет. Добродошли у мтс мрежу. Подршка: 0800 100 100.","legitimate","sr","cyrillic"
"Yettel: Pretplata je obnovljena. Novi ciklus počinje 01.06.2026. Stanje računa: 0,00 RSD.","legitimate","sr","latin"
"Јеттел: Претплата је обновљена. Нови циклус почиње 01.06.2026. Стање рачуна: 0,00 RSD.","legitimate","sr","cyrillic"
"MTS: Vaša SIM kartica je aktivirana. Početni balans: 0,00 RSD. Uživajte u usluzi.","legitimate","sr","latin"
"МТС: Ваша СИМ картица је активирана. Почетни баланс: 0,00 RSD. Уживајте у услузи.","legitimate","sr","cyrillic"
"A1: Roaming je isključen za Vaš broj. Za aktivaciju pošaljite SMS 'ROAM' na 1234.","legitimate","sr","latin"
"А1: Роаминг је искључен за Ваш број. За активацију пошаљите SMS 'ROAM' на 1234.","legitimate","sr","cyrillic"
"Yettel: Preusmeravanje poziva je uključeno. Za isključivanje pošaljite SMS 'STOP' na 1234.","legitimate","sr","latin"
"Јеттел: Преусмеравање позива је укључено. За искључивање пошаљите SMS 'STOP' на 1234.","legitimate","sr","cyrillic"
"Telekom: Vaš ruter je ažuriran. Ako imate poteškoća, restartujte uređaj.","legitimate","sr","latin"
"Телеком: Ваш рутер је ажуриран. Ако имате потешкоћа, рестартујте уређај.","legitimate","sr","cyrillic"
"MTS: Prekoračenje minuta. Dodatni paket aktiviran automatski. Detalji u Moj MTS aplikaciji.","legitimate","sr","latin"
"МТС: Прекорачење минута. Додатни пакет активиран аутоматски. Детаљи у Мој МТС апликацији.","legitimate","sr","cyrillic"
"Pošta Srbije: Vaš paket HR883291RS je u dostavi. Očekivana dostava: sutra do 14h. Pratite na: posta.rs","legitimate","sr","latin"
"Пошта Србије: Ваш пакет HR883291RS је у достави. Очекивана достава: сутра до 14h. Пратите на: posta.rs","legitimate","sr","cyrillic"
"DExpress: Vaša narudžbina je preuzeta od strane kurira. Procenjeno vreme: 25-35 min. Hvala vam!","legitimate","sr","latin"
"ДЕxпресс: Ваша наруџбина је преузета од стране курира. Процењено време: 25-35 min. Хвала вам!","legitimate","sr","cyrillic"
"PostExpress: Paket #PE445521 je stigao u Vaš grad. Dostava sutra 09-15h. Pratite na: postexpress.rs","legitimate","sr","latin"
"ПостЕxпресс: Пакет #PE445521 је стигао у Ваш град. Достава сутра 09-15h. Пратите на: postexpress.rs","legitimate","sr","cyrillic"
"Glovo Srbija: Dostava je stigla na Vašu adresu. Ostavite recenziju u aplikaciji i ostvarite popust.","legitimate","sr","latin"
"Глово Србија: Достава је стигла на Вашу адресу. Оставите рецензију у апликацији и остварите попуст.","legitimate","sr","cyrillic"
"Pošta Srbije: Vaš paket je spreman za preuzimanje u pošti Beograd Centar. Ponesite ličnu kartu.","legitimate","sr","latin"
"Пошта Србије: Ваш пакет је спреман за преузимање у пошти Београд Центар. Понесите личну карту.","legitimate","sr","cyrillic"
"DExpress: Vaša pošiljka je u sortiranju. Očekivana dostava: 22.05.2026. Pratite status na dexpress.rs","legitimate","sr","latin"
"ДЕxпресс: Ваша пошиљка је у сортирању. Очекивана достава: 22.05.2026. Пратите статус на dexpress.rs","legitimate","sr","cyrillic"
"PostExpress: Paket je predat dostavnom centru. Kontakt kurira: 064 123 4567. Hvala na strpljenju.","legitimate","sr","latin"
"ПостЕxпресс: Пакет је предат доставном центру. Контакт курира: 064 123 4567. Хвала на стрпљењу.","legitimate","sr","cyrillic"
"Pošta Srbije: Obaveštenje: Paket je vraćen pošiljaocu zbog nepreuzimanja. Kontakt: 0700 100 300.","legitimate","sr","latin"
"Пошта Србије: Обавештење: Пакет је враћен пошиљаоцу због непреузимања. Контакт: 0700 100 300.","legitimate","sr","cyrillic"
"Glovo: Vaša narudžbina je otkazana od strane restorana. Iznos je vraćen na račun.","legitimate","sr","latin"
"Глово: Ваша наруџбина је отказана од стране ресторана. Износ је враћен на рачун.","legitimate","sr","cyrillic"
"PostExpress: Dostava je odložena za sutra zbog vremenskih uslova. Novo vreme: 09-14h.","legitimate","sr","latin"
"ПостЕxпресс: Достава је одложена за сутра због временских услова. Ново време: 09-14h.","legitimate","sr","cyrillic"
"Pošta Srbije: Vaša pošiljka je preusmerena na novu adresu. Potvrda u aplikaciji Moja Pošta.","legitimate","sr","latin"
"Пошта Србије: Ваша пошиљка је преусмерена на нову адресу. Потврда у апликацији Моја Пошта.","legitimate","sr","cyrillic"
"DExpress: Paket je preuzet. Potvrda dostave je primljena. Hvala na poverenju.","legitimate","sr","latin"
"ДЕxпресс: Пакет је преузет. Потврда доставе је примљена. Хвала на поверењу.","legitimate","sr","cyrillic"
"PostExpress: Dostava je uspešno obavljena. Ostavite ocenu kuriru i ostvarite 10% popusta.","legitimate","sr","latin"
"ПостЕxпресс: Достава је успешно обављена. Оставите оцену куриру и остварите 10% попуста.","legitimate","sr","cyrillic"
"Glovo: Vaša narudžbina je pripremljena. Kurir kreće za 5 min. Hvala na narudžbini!","legitimate","sr","latin"
"Глово: Ваша наруџбина је припремљена. Курир креће за 5 min. Хвала на наруџбини!","legitimate","sr","cyrillic"
"DExpress: Obaveštenje: Vaš paket je isporučen. Potpis za prijem je zabeležen u sistemu.","legitimate","sr","latin"
"ДЕxпресс: Обавештење: Ваш пакет је испоручен. Потпис за пријем је забележен у систему.","legitimate","sr","cyrillic"
"Pošta Srbije: Vaš paket čeka na preuzimanje. Radno vreme pošte: 08-20h. Ponesite ličnu kartu.","legitimate","sr","latin"
"Пошта Србије: Ваш пакет чека на преузимање. Радно време поште: 08-20h. Понесите личну карту.","legitimate","sr","cyrillic"
"PostExpress: Vaša pošiljka je stigla u grad prijema. Dostava u toku dana. Pratite na: postexpress.rs","legitimate","sr","latin"
"ПостЕxпресс: Ваша пошиљка је стигла у град пријема. Достава у току дана. Пратите на: postexpress.rs","legitimate","sr","cyrillic"
"Glovo: Kurir je stigao na lokaciju. Molimo izađite na dogovoreno mesto za preuzimanje.","legitimate","sr","latin"
"Глово: Курир је стигао на локацију. Молимо изађите на договорено место за преузимање.","legitimate","sr","cyrillic"
"DExpress: Vaš paket je predat kuriru. Procenjeno vreme dostave: 45-60 min. Pratite u aplikaciji.","legitimate","sr","latin"
"ДЕxпресс: Ваш пакет је предат куриру. Процењено време доставе: 45-60 min. Пратите у апликацији.","legitimate","sr","cyrillic"
"Pošta Srbije: Vaša pošiljka je carinjena. Za preuzimanje ponesite ličnu kartu i broj pošiljke.","legitimate","sr","latin"
"Пошта Србије: Ваша пошиљка је царињена. За преузимање понесите личну карту и број пошиљке.","legitimate","sr","cyrillic"
"PostExpress: Dostava je zakazana za sutra između 10-14h. Bićete obavešteni SMS-om pre dolaska.","legitimate","sr","latin"
"ПостЕxпресс: Достава је заказана за сутра између 10-14h. Бићете обавештени SMS-ом пре доласка.","legitimate","sr","cyrillic"
"MTS: Vaš mesečni izveštaj o potrošnji je dostupan. Pregledajte u Moj MTS aplikaciji.","legitimate","sr","latin"
"МТС: Ваш месечни извештај о потрошњи је доступан. Прегледајте у Мој МТС апликацији.","legitimate","sr","cyrillic"
"A1: Vaša faktura za 05/2026 je generisana. Iznos: 3.450 RSD. Rok plaćanja: 15.06.2026.","legitimate","sr","latin"
"А1: Ваша фактура за 05/2026 је генерисана. Износ: 3.450 RSD. Рок плаћања: 15.06.2026.","legitimate","sr","cyrillic"
"Yettel: Vaš bonus bodovi ističu 30.06.2026. Iskoristite ih u Yettel Shop aplikaciji.","legitimate","sr","latin"
"Јеттел: Ваш бонус бодови истичу 30.06.2026. Искористите их у Yettel Shop апликацији.","legitimate","sr","cyrillic"
"Telekom: Vaša pretplata uključuje 10 GB interneta. Preostalo: 6,8 GB. Detalji u aplikaciji.","legitimate","sr","latin"
"Телеком: Ваша претплата укључује 10 GB интернета. Преостало: 6,8 GB. Детаљи у апликацији.","legitimate","sr","cyrillic"
"MTS: Uspešno ste aktivirali opciju 'Neograničeni razgovori'. Važi do kraja obračunskog perioda.","legitimate","sr","latin"
"МТС: Успешно сте активирали опцију 'Неограничени разговори'. Важи до краја обрачунског периода.","legitimate","sr","cyrillic"
"A1: Vaš broj je uspešno prenet iz druge mreže. Dobrodošli u A1 Srbija!","legitimate","sr","latin"
"А1: Ваш број је успешно пренет из друге мреже. Добродошли у А1 Србија!","legitimate","sr","cyrillic"
"Yettel: Vaša porudžbina telefona je poslata. Broj za praćenje: YS883291. Pratite na: yettel.rs","legitimate","sr","latin"
"Јеттел: Ваша поруџбина телефона је послата. Број за праћење: YS883291. Пратите на: yettel.rs","legitimate","sr","cyrillic"
"Telekom: Vaš ugovor za fiksni internet je produžen. Nova cena: 2.490 RSD/mesečno.","legitimate","sr","latin"
"Телеком: Ваш уговор за фиксни интернет је продужен. Нова цена: 2.490 RSD/месечно.","legitimate","sr","cyrillic"
"MTS: Vaš TV paket je ažuriran. Dodati su kanali: Sport Klub 1, 2, 3. Uživajte u gledanju!","legitimate","sr","latin"
"МТС: Ваш ТВ пакет је ажуриран. Додати су канали: Sport Klub 1, 2, 3. Уживајте у гледању!","legitimate","sr","cyrillic"
"A1: Vaša opcija 'Roaming Balkan' je aktivirana. Važi u 6 zemalja regiona.","legitimate","sr","latin"
"А1: Ваша опција 'Roaming Balkan' је активирана. Важи у 6 земаља региона.","legitimate","sr","cyrillic"
"Yettel: Vaš internet paket od 5 GB je aktiviran. Važi 30 dana od aktivacije.","legitimate","sr","latin"
"Јеттел: Ваш интернет пакет од 5 GB је активиран. Важи 30 дана од активације.","legitimate","sr","cyrillic"
"Telekom: Vaša porudžbina opreme je stigla u prodajni objekat. Možete je preuzeti uz ličnu kartu.","legitimate","sr","latin"
"Телеком: Ваша поруџбина опреме је стигла у продајни објекат. Можете је преузети уз личну карту.","legitimate","sr","cyrillic"
"MTS: Vaš zahtev za promenu paketa je odobren. Promena stupa na snagu od 01.07.2026.","legitimate","sr","latin"
"МТС: Ваш захтев за промену пакета је одобрен. Промена ступа на снагу од 01.07.2026.","legitimate","sr","cyrillic"
"Raiffeisen: Potvrdite identitet za transakciju od 4.200 RSD. Unesite poslednje 4 cifre kartice: https://raiffeisen.rs-verifikacija.net","phishing","sr","latin"
"Рајфајзен: Потврдите идентитет за трансакцију од 4.200 RSD. Унесите последње 4 цифре картице: https://raiffeisen.rs-verifikacija.net","phishing","sr","cyrillic"
"MTS: Vaš račun #44821 je suspendovan zbog nepotpunih podataka. Ažurirajte u Moj MTS: https://moj-mts.rs/potvrda-identiteta","phishing","sr","latin"
"МТС: Ваш рачун #44821 је суспендован због непотпуних података. Ажурирајте у Мој МТС: https://moj-mts.rs/potvrda-identiteta","phishing","sr","cyrillic"
"Pošta Srbije: Paket RS992143 čeka carinjenje. Doplatite 350 RSD preko zvaničnog linka: https://posta.rs/carina-plati","phishing","sr","latin"
"Пошта Србије: Пакет RS992143 чека царинење. Доплатите 350 RSD преко званичног линка: https://posta.rs/carina-plati","phishing","sr","cyrillic"
"Banca Intesa: Detektovana prijava sa novog uređaja u Novom Sadu. Ako ste vi, ignorišite. Ako niste, potvrdite blokadu: https://intesabank.rs/sigurnost-nalog","phishing","sr","latin"
"Банка Интеза: Детектована пријава са новог уређаја у Новом Саду. Ако сте ви, игноришите. Ако нисте, потврдите блокаду: https://intesabank.rs/sigurnost-nalog","phishing","sr","cyrillic"
"MUP: Registracija vozila BG-123-XX ističe sutra. Produžite online bez čekanja u redu: https://mup.gov.rs/reg-produzi-online","phishing","sr","latin"
"МУП: Регистрација возила БГ-123-XX истиче сутра. Продужите online без чекања у реду: https://mup.gov.rs/reg-produzi-online","phishing","sr","cyrillic"
"Telekom Srbija: Vaš broj 065/xxx-xxx je označen za prenos. Potvrdite ili otkažite u roku od 24h: https://mts.rs/prenos-broja-potvrda","phishing","sr","latin"
"Телеком Србија: Ваш број 065/xxx-xxx је означен за пренос. Потврдите или откажите у року од 24h: https://mts.rs/prenos-broja-potvrda","phishing","sr","cyrillic"
"OTP banka: Generisan je novi e-token. Za aktivaciju unesite kod sa naloga: https://otp.rs/aktivacija-tokena-e","phishing","sr","latin"
"ОТП банка: Генерисан је нови е-токен. За активацију унесите код са налога: https://otp.rs/aktivacija-tokena-e","phishing","sr","cyrillic"
"DExpress: Kurir vas nije zatekao. Ponovna dostava zahteva potvrdu adrese: https://dexpress.rs/dostava-potvrda-adresa","phishing","sr","latin"
"ДЕxпресс: Курир вас није затекао. Поновна достава захтева потврду адресе: https://dexpress.rs/dostava-potvrda-adresa","phishing","sr","cyrillic"
"A1 Srbija: Potrošnja je premašila 90% limita. Dodatni paket se automatski aktivira. Otkažite: https://a1.rs/limit-upravljanje-paket","phishing","sr","latin"
"А1 Србија: Потрошња је премашила 90% лимита. Додатни пакет се аутоматски активира. Откажите: https://a1.rs/limit-upravljanje-paket","phishing","sr","cyrillic"
"NLB Komercijalna: Vaša kartica ****8832 je privremeno ograničena za online kupovinu. Verifikujte: https://nlb.rs/kartica-podesavanja-online","phishing","sr","latin"
"НЛБ Комерцијална: Ваша картица ****8832 је привремено ограничена за online куповину. Верификујте: https://nlb.rs/kartica-podesavanja-online","phishing","sr","cyrillic"
"Erste: Vaša štednja je ažurirana. Za potvrdu novih uslova kliknite: https://erste.rs/uslovi-stednja-potvrda","phishing","sr","latin"
"Ерсте: Ваша штедња је ажурирана. За потврду нових услова кликните: https://erste.rs/uslovi-stednja-potvrda","phishing","sr","cyrillic"
"Yettel: Vaš broj će biti ugašen zbog neplaćene fakture. Plaćanje preko sigurnog linka: https://yettel.rs/faktura-platno","phishing","sr","latin"
"Јеттел: Ваш број ће бити угашен због неплаћене фактуре. Плаћање преко сигурног линка: https://yettel.rs/faktura-platno","phishing","sr","cyrillic"
"PostExpress: Pošiljka PE77321 zadržana na carini. Unesite JMBG za brzo carinjenje: https://postexpress.rs/carina-jmbg","phishing","sr","latin"
"ПостЕxпресс: Пошиљка PE77321 задржана на царини. Унесите ЈМБГ за брзо царињење: https://postexpress.rs/carina-jmbg","phishing","sr","cyrillic"
"AIK Banka: Detektovan pokušaj prijave sa IP adrese 195.xxx.xxx.xx. Potvrdite da ste vi: https://aik.rs/prijava-potvrda","phishing","sr","latin"
"АИК Банка: Детектован покушај пријаве са IP адресе 195.xxx.xxx.xx. Потврдите да сте ви: https://aik.rs/prijava-potvrda","phishing","sr","cyrillic"
"Poreska uprava: Godišnji obračun poreza je spreman. Preuzmite PDF i potvrdite: https://purs.gov.rs/porez-obracun","phishing","sr","latin"
"Пореска управа: Годишњи обрачун пореза је спреман. Преузмите PDF и потврдите: https://purs.gov.rs/porez-obracun","phishing","sr","cyrillic"
"MTS: Vaš TV paket je ažuriran. Za prijem novih kanala potvrdite pretplatu: https://mts.rs/tv-paket-potvrda","phishing","sr","latin"
"МТС: Ваш ТВ пакет је ажуриран. За пријем нових канала потврдите претплату: https://mts.rs/tv-paket-potvrda","phishing","sr","cyrillic"
"A1: Vaša opcija roaming je istekla. Produžite za putovanje u EU: https://a1.rs/roaming-produzenje","phishing","sr","latin"
"А1: Ваша опција роаминг је истекла. Продужите за путовање у EU: https://a1.rs/roaming-produzenje","phishing","sr","cyrillic"
"Banca Intesa: Vaš kreditni limit je povećan na 50.000 RSD. Aktivirajte sada: https://intesabank.rs/kredit-aktivacija","phishing","sr","latin"
"Банка Интеза: Ваш кредитни лимит је повећан на 50.000 RSD. Активирајте сада: https://intesabank.rs/kredit-aktivacija","phishing","sr","cyrillic"
"Pošta Srbije: Obaveštenje: paket je vraćen pošiljaocu. Za ponovnu dostavu platite 400 RSD: https://posta.rs/vracen-paket","phishing","sr","latin"
"Пошта Србије: Обавештење: пакет је враћен пошиљаоцу. За поновну доставу платите 400 RSD: https://posta.rs/vracen-paket","phishing","sr","cyrillic"
"Telekom: Vaš ugovor za internet ističe 01.07.2026. Potvrdite produženje uz popust: https://telekom.rs/ugovor-produzenje","phishing","sr","latin"
"Телеком: Ваш уговор за интернет истиче 01.07.2026. Потврдите продужење уз попуст: https://telekom.rs/ugovor-produzenje","phishing","sr","cyrillic"
"NLB: Vaša kartica je označena za dodatnu sigurnost. Verifikujte preko aplikacije: https://nlb.rs/kartica-sigurnost","phishing","sr","latin"
"НЛБ: Ваша картица је означена за додатну сигурност. Верификујте преко апликације: https://nlb.rs/kartica-sigurnost","phishing","sr","cyrillic"
"OTP: Generisan je novi SMS kod za prijavu. Važi 120 sekundi. Unesite: https://otp.rs/sms-kod-prijava","phishing","sr","latin"
"ОТП: Генерисан је нови SMS код за пријаву. Важи 120 секунди. Унесите: https://otp.rs/sms-kod-prijava","phishing","sr","cyrillic"
"Yettel: Vaš bonus bodovi će biti uklonjeni 30.06.2026. Iskoristite ih sada: https://yettel.rs/bonus-iskoristi","phishing","sr","latin"
"Јеттел: Ваш бонус бодови ће бити уклоњени 30.06.2026. Искористите их сада: https://yettel.rs/bonus-iskoristi","phishing","sr","cyrillic"
"DExpress: Vaša pošiljka je oštećena u tranzitu. Zahtev za naknadu: https://dexpress.rs/steta-naknada","phishing","sr","latin"
"ДЕxпресс: Ваша пошиљка је оштећена у транзиту. Захтев за накнаду: https://dexpress.rs/steta-naknada","phishing","sr","cyrillic"
"MUP: Vaša lična karta je prijavljena kao neispravna. Blokirajte i zatražite novu: https://mup.gov.rs/licna-karta-blokada","phishing","sr","latin"
