id,text,label,language,category,technique,has_link,has_urgency,alphabet
55,Pošta Srbije: Obaveštenje: Paket je vraćen pošiljaocu zbog nepreuzimanja. Kontakt: 0700 100 300.,legitimate,sr,unknown,unknown,FALSE,FALSE,latin
56,Telekom: Vaš ruter zahteva ažuriranje firmware-a. Preuzmite najnoviju verziju: https://telekom.rs/ruter-firmware,phishing,sr,unknown,unknown,TRUE,FALSE,latin
57,Pošta Crne Gore: Vaš paket je stigao u Podgoricu. Preuzmite ga u roku od 10 dana.,legitimate,me,post,delivery,FALSE,FALSE,latin
58,Parking Dubrovnik: Ne nasjedajte na SMS poruke koje traže hitnu uplatu kazne.,legitimate,hr,parking,security,FALSE,FALSE,latin
59,Yettel: Vaš Yettel bonus bodovi: 1.250. Iskoristite ih do 31.08.2026.,legitimate,sr,telecom,promotion,FALSE,FALSE,latin
60,Hitno ažurirajte lozinku jer je nalog kompromitovan.,phishing,sr,account,urgency,FALSE,TRUE,latin
61,RTS: Emisija 'Potrošački savjetnik' – kako prepoznati lažne SMS poruke. Uskoro na RTS1.,legitimate,sr,media,notice,FALSE,FALSE,latin
62,"Hipotekarna Banka: Transakcija karticom ****3421 u iznosu od 89,50 EUR je odobrena. Stanje: 1.230,45 EUR.",legitimate,me,unknown,tricky,FALSE,FALSE,latin
63,Pošta Srbije: Paket RS992143 čeka carinjenje. Doplatite 350 RSD preko zvaničnog linka: https://posta.rs/carina-plati,phishing,sr,unknown,unknown,TRUE,FALSE,latin
64,"OTP banka Hrvatska: Vaš kredit je reprogramiran. Nova rata: 212,00 EUR.",legitimate,hr,bank,notification,FALSE,FALSE,latin
65,ПроКредит: Рата стамбеног кредита доспева 15.07.2026. Износ: 45.890 RSD. Аутоматско задужење са рачуна. Стање: 2.450.000 RSD.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
66,"Erste Banka CG: Detektovana je prijava s novog uređaja (iPhone 14, Podgorica). Ako niste to Vi, potvrdite blokadu: https://erste-sigurnost.me",phishing,me,unknown,tricky,TRUE,FALSE,latin
67,Čestitamo! Dobili ste iPhone 13. Kliknite za dostavu.,phishing,sr,reward,false_reward,FALSE,FALSE,latin
68,"А1 Србија: Ваш рачун показује необичну потрошњу. За вашу сигурност, додатна верификација је потребна. Позовите 064 100 100.",legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
69,Wolt: Nalog za dostavu je preuzet. Kurir je na putu.,legitimate,sr,delivery,notification,FALSE,FALSE,latin
70,А1: Ваш број је успешно пренет из друге мреже. Добродошли у А1 Србија!,legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
71,Ерсте: Ваша штедња је ажурирана. За потврду нових услова кликните: https://erste.rs/uslovi-stednja-potvrda,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
72,CK: Vaša kartica je privremeno blokirana na Vaš zahtjev. Za deblokadu pozovite 020 20 20 00.,legitimate,me,bank,notification,FALSE,FALSE,latin
73,Osijek parking: Osijek parking ne šalje SMS opomene.,legitimate,hr,parking,security,FALSE,FALSE,latin
74,"Телеком: Ваш рутер је успешно ажуриран на firmware v2.4.1. Ако имате проблема са конекцијом, рестартујте уређај или позовите подршку.",legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
75,"One: Vaša SIM kartica je aktivirana. Početni balans: 0,00 EUR. Uživajte u usluzi.",legitimate,me,telecom,notification,FALSE,FALSE,latin
76,Телеком: Ваш број је пријављен за spam. Потврдите да нисте ви послали поруке: https://telekom.rs/spam-potvrda,phishing,sr,unknown,unknown,TRUE,FALSE,cyrillic
77,m:tel Crna Gora: Vaš broj je uspješno prenesen. Dobrodošli u m:tel mrežu. Podrška: 0800 100 100.,legitimate,me,telecom,notification,FALSE,FALSE,latin
78,Split parking: Prekoračen je limit parkiranja. Doplatite 25 kn sada: http://split-park.net,phishing,hr,tax,urgency,TRUE,TRUE,latin
79,МУП: Пријава за издавање нове личне карте је поднета. Термин за преузимање: 15.07.2026. Понесите стару личну карту.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
80,Vaš nalog je privremeno zaključan. Reagujte odmah.,phishing,sr,account,urgency,FALSE,TRUE,latin
81,NLB: Vaša kreditna kartica je uspešno obnovljena. Nova kartica sa produženim rokom važenja (08/2029) je poslata na adresu.,legitimate,sr,unknown,tricky,FALSE,TRUE,latin
82,MUP RH: Na vaše ime je zaprimljena kaznena prijava. Preuzmite dokument: http://mup-obavijest.com,phishing,hr,police,threat,TRUE,TRUE,latin
83,Telekom: Vaša pretplata za fiksni telefon ističe. Produžite bez prekida: https://telekom.rs/fiksni-produzenje,phishing,sr,unknown,unknown,TRUE,FALSE,latin
84,А1: Ваша опција 'Породични пакет' је активирана. Дељење минута и интернета са 3 члана породице. Проверите у апликацији.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
85,Nezavisne: Ne otvarajte linkove u porukama koje tvrde da ste osvojili nagradu Nezavisnih.,legitimate,bs,media,security,FALSE,FALSE,latin
86,МТС: Успешно сте активирали опцију 'Неограничени разговори'. Важи до краја обрачунског периода.,legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
87,"PKB Banka: Vaša kartica ****7721 korištena je za transakciju od 140 EUR. Ako niste Vi, blokirajte odmah: https://pkb-blokada.com",phishing,me,unknown,tricky,TRUE,TRUE,latin
88,"Obavještenje: Zbog praznika, pošta neće raditi 01. i 02. juna.",legitimate,hr,post,notice,FALSE,FALSE,latin
89,Bingo: Sakupili ste 250 Bingo bodova. Iskoristite ih do 31.08.2026.,legitimate,bs,shopping,notification,FALSE,FALSE,latin
90,А1 Србија: Ваш број ће бити пренет у другу мрежу уколико не потврдите: https://a1-zadrzavanje.rs,phishing,sr,telecom,urgency,TRUE,TRUE,cyrillic
91,МТС: Хитно обавештење: Ваш број је привремено ограничен због сумње на злоупотребу. Контактирајте подршку на 064 123 4567 за верификацију.,legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
92,Petrol nagradna: Besplatno gorivo čeka. Potvrdite identitet: http://petrol-nagrada.net,phishing,neutral,reward,false_reward,TRUE,TRUE,latin
93,DExpress: Kurir vas nije zatekao na adresi. Paket je u najbližoj ekspozituri (Vračar). Preuzmite uz ličnu kartu. Kontakt: 011 333 4444,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
94,Telekom: Vaša porudžbina opreme je stigla u prodajni objekat. Možete je preuzeti uz ličnu kartu.,legitimate,sr,unknown,unknown,FALSE,FALSE,latin
95,"Banca Intesa: Uspešno ste izvršili plaćanje od 3.450,00 RSD u Mercatoru. Stanje: 87.230,15 RSD.",legitimate,sr,bank,transaction,FALSE,FALSE,latin
96,Vaš jednokratni kod za potvrdu mobilnog bankarstva je 338291. Ne otkrivajte ga.,legitimate,sr,bank,otp,FALSE,FALSE,latin
97,DExpress: Vaša pošiljka je uspešno zaprimljena u našem centru. Sortiranje je u toku. Dostava: sutra 09:00-15:00.,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
98,Raiffeisen Banka Hrvatska: Upozorenje na lažne SMS poruke. Provjerite uvijek domen.,legitimate,hr,bank,security,FALSE,FALSE,latin
99,DHL CG: Paket je stigao u skladište u Podgorici. Očekujte dostavu u roku 24h.,legitimate,me,delivery,notification,FALSE,FALSE,latin
100,A1: Vaš broj je uspešno prenet iz druge mreže. Dobrodošli u A1 Srbija! Početni bonus: 5 GB interneta. Važi 30 dana.,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
101,Hipotekarna: Vaš e-banking nalog zahtijeva verifikaciju. Kliknite: https://hipotekarna-verifikacija.com,phishing,me,bank,impersonation,TRUE,TRUE,latin
102,RBA: RBA vas neće kontaktirati SMS-om u vezi blokade kartice.,legitimate,hr,bank,security,FALSE,FALSE,latin
103,ДЕxпресс: Обавештење - Ваш пакет је испоручен. Потпис за пријем: M. Petrović. Vreme: 14:32h. Хвала на поверењу!,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
104,АИК Банка: Ваш е-токен код је 847392. Важи 60 секунди. Не делите код с трећим лицима.,legitimate,sr,bank,otp,FALSE,FALSE,cyrillic
105,Glovo: Vaša narudžba je pripremljena. Kurir kreće za 5 min. Hvala na narudžbi!,legitimate,hr,delivery,notification,FALSE,FALSE,latin
106,Pošta Srbije: Obavestenje: Vaša pošiljka je uručena. Hvala na korišćenju usluga Pošte Srbije.,legitimate,sr,post,delivery,FALSE,FALSE,latin
107,"MTS: Vaš TV paket je ažuriran. Dodati kanali: Sport Klub 1-3, Arena Sport. Aktivacija do 24h. Podrška: 0800 100 100",legitimate,sr,unknown,tricky,FALSE,TRUE,latin
108,НЛБ: Ваша online трансакција од 3.450 RSD је одобрена. Стање рачуна: 45.890 RSD. Детаљи у m-banking апликацији.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
109,Hipotekarna Banka: Vaš e-token kod je 847392. Važi 60 sekundi. Ne dijelite kod s trećim licima.,legitimate,me,bank,otp,FALSE,FALSE,latin
110,Hrvatska pošta: Paket HR445821 je u dostavi. Očekivano vrijeme: sutra 09-14h. Pratite na: posta.hr,legitimate,hr,unknown,tricky,FALSE,FALSE,latin
111,MUP RS: Vozačka dozvola je suspendovana zbog nepodmirenih kazni. Plaćanje: https://mup-rs-kazne.com,phishing,bs,unknown,tricky,TRUE,TRUE,latin
112,Čestitamo! Osvojili ste vaučer za Hram. Unesite podatke.,phishing,sr,reward,false_reward,FALSE,FALSE,latin
113,BH Telecom: Osvojili ste iPhone 14! Preuzmite nagradu: https://bhtelecom-nagrada.ba,phishing,bs,reward,false_reward,TRUE,TRUE,latin
114,"МТС: Ваш ТВ пакет је ажуриран. Додати су канали: Sport Klub 1, 2, 3. Уживајте у гледању!",legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
115,А1 Србија: Ваш број ће бити угашен због неактивности. Потврдите: https://a1-aktivacija.net,phishing,sr,telecom,urgency,TRUE,TRUE,cyrillic
116,NLB Komercijalna: Vaša kartica je automatski blokirana nakon 3 neuspela pokušaja PIN-a. Za deblokadu posetite najbližu filijalu.,legitimate,sr,unknown,unknown,FALSE,TRUE,latin
117,Račun za struju je neplaćen. Izbegnite isključenje danas.,phishing,sr,tax,threat,FALSE,FALSE,latin
118,eBay: eBay ne traži podatke o kartici putem SMS-a.,legitimate,neutral,shopping,security,FALSE,FALSE,latin
119,Erste Bank: Vaš nalog je uspješno verifikovan. Sve funkcionalnosti su ponovo dostupne.,legitimate,hr,unknown,tricky,FALSE,FALSE,latin
120,Wolt: Dostava je stigla na vašu adresu. Ostavite recenziju u aplikaciji i ostvarite popust na sljedeću narudžbu.,legitimate,hr,delivery,notification,FALSE,FALSE,latin
121,Банка Интеза: Ваш кредитни захтев је одобрен. Уговор је спреман за потпис у најближој филијали. Контактирајте нас за термин.,legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
122,Podaci na fakturi su provereni i tačni.,legitimate,sr,billing,morphological_case_locative,FALSE,FALSE,latin
123,Konzum HR: Konzum ne šalje SMS poruke s osvojenim vaučerima.,legitimate,hr,shopping,security,FALSE,FALSE,latin
124,Čestitamo! Osvojili ste vaučer za IDDEEA. Unesite podatke.,phishing,sr,reward,false_reward,FALSE,FALSE,latin
125,"АИК Банка: Ваша картица је коришћена за плаћање у иностранству 2.450 RSD. Ако нисте ви, блокирајте: https://aik-blokada.rs",phishing,sr,bank,threat,TRUE,TRUE,cyrillic
126,Yettel: Vaš internet paket od 5 GB je aktiviran. Važi 30 dana od aktivacije.,legitimate,sr,unknown,unknown,FALSE,FALSE,latin
127,Super nagrada! Kliknite ovdje i preuzmite besplatni gift card od 200 kn: http://gift-card-free.net,phishing,hr,reward,false_reward,TRUE,TRUE,latin
128,DExpress: Vaša pošiljka je u sortiranju. Očekivana dostava: 22.05.2026. Pratite status na dexpress.rs,legitimate,sr,delivery,notification,FALSE,FALSE,latin
129,Пошта: Неуспешна достава пакета #RS883291. Потврдите термин: https://posta-dostava.help,phishing,sr,post,urgency,TRUE,TRUE,cyrillic
130,Dodeljujemo vam nagradi vrednoj 500€.,phishing,sr,reward,morphological_case_dative,FALSE,TRUE,latin
131,Čestitamo! Osvojili ste vaučer za NIS. Unesite.,phishing,sr,reward,false_reward,FALSE,FALSE,latin
132,ДЕxпресс: Курир је покушао доставу али вас није затекао. Пакет је у најближој експозитури. Преузмите уз личну карту у року од 7 дана.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
133,"UniCredit Bank BiH: Vaša mjesečna naknada za vođenje računa iznosi 5,00 KM.",legitimate,bs,bank,notification,FALSE,FALSE,latin
134,HT: Vaš račun za internet je dospio. Iznos: 189 kn. Plaćanje online: https://ht-placanje.net,phishing,hr,telecom,threat,TRUE,TRUE,latin
135,"m:tel: Vaš ruter je ažuriran. Ako imate poteškoća, restartujte uređaj.",legitimate,me,telecom,notification,FALSE,FALSE,latin
136,Molimo vas da preuzmete potvrdu.,legitimate,sr,confirmation,morphological_case_accusative,FALSE,FALSE,latin
137,Banca Intesa: Vaš kreditni limit je povećan na 100.000 RSD. Aktivirajte u e-banking aplikaciji ili na šalteru. Važi odmah.,phishing,sr,unknown,tricky,FALSE,TRUE,latin
138,Interex BiH: Hvala na povjerenju. Za svaku kupovinu preko 50 KM poklon bon 5 KM.,legitimate,bs,shopping,promotion,FALSE,FALSE,latin
139,"Postovani, vas zahtev je uspesno obradjen.",legitimate,sr,service,ascii_approximation_dj,FALSE,FALSE,latin
140,Telekom: Vaša pretplata ističe sutra. Produžite uz popust: https://telekom-produzi.com,phishing,sr,telecom,scarcity,TRUE,TRUE,latin
141,Sparkasse BiH: Vaš e-banking zahtijeva verifikaciju. Kliknite za potvrdu: https://sparkasse-bh.com,phishing,bs,unknown,tricky,TRUE,FALSE,latin
142,Samo još 2 sata da aktivirate besplatni paket. Ne propustite!,phishing,sr,telecom,scarcity,FALSE,FALSE,latin
143,DExpress: Obaveštenje - Vaš paket je isporučen. Potpis za prijem: M. Petrović. Vreme: 14:32h. Hvala na poverenju!,legitimate,sr,unknown,tricky,FALSE,FALSE,latin
144,Vaš nalog će biti obrisan za 12h. Potvrdite identitet odmah.,phishing,sr,account,urgency,FALSE,TRUE,latin
145,Raiffeisen Bank BiH: Detektovana je prijava s nepoznatog uređaja. Potvrdite identitet za nastavak: https://raiffeisen-bh.com,phishing,bs,unknown,tricky,TRUE,FALSE,latin
146,Poreska uprava: Poresko rešenje za 2025. godinu je dostupno na portalu ePorezi.,legitimate,sr,tax,notification,FALSE,FALSE,latin
147,Pošta Hrvatske: Vaša pošiljka je spremna za preuzimanje u pošti Zagreb Centar.,legitimate,hr,post,delivery,FALSE,FALSE,latin
148,Knjiga je uspešno isporučena na vašu adresu.,legitimate,sr,shopping,full_diacritic_nj,FALSE,FALSE,latin
149,Erste Banka CG: Vaš kredit je odobren. Ugovor spremam za potpis 25.06.2026. u 11h.,legitimate,me,bank,notification,FALSE,TRUE,latin
150,CBBH: Centralna banka BiH ne šalje SMS poruke građanima.,legitimate,bs,bank,security,FALSE,FALSE,latin
151,m:tel Crna Gora: Vaš račun pokazuje neobičnu potrošnju. Provjerite detalje i zaštitite broj: https://mtel-mojracun.com,phishing,me,unknown,tricky,TRUE,FALSE,latin
152,DExpress: Vaš paket je spreman za preuzimanje u centru. Ponesite ID: https://dexpress.rs/centar-preuzimanje,phishing,sr,unknown,unknown,TRUE,FALSE,latin
153,CERT BiH: Obavještenje o sigurnosti – ažurirajte svoje lozinke na online servisima.,legitimate,bs,security,notification,FALSE,TRUE,latin
154,"Банка Интеза: Детектована трансакција у иностранству (London, 1.250 GBP). Ако нисте Ви, блокирајте картицу у апликацији или позовите 011 20 20 000.",phishing,sr,unknown,tricky,FALSE,FALSE,cyrillic
155,Vaš nalog je privremeno zaključan. Potvrdite identitet.,phishing,sr,account,urgency,FALSE,FALSE,latin
156,Јеттел: Ваш бонус бодови (2.450) истичу 31.12.2026. Искористите их у Yettel Shop-у за попусте на уређаје и опрему.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
157,Рајфајзен: Ваш рачун је означен за проверу. Унесите податке за наставак: https://raiffeisen.rs-verifikacija.net,phishing,sr,unknown,tricky,TRUE,FALSE,cyrillic
158,Nagradna igra Konzum: Dobitnik ste vaučera. Unesite podatke: http://konzum-nagrada.net,phishing,hr,reward,false_reward,TRUE,TRUE,latin
159,Hifa Banka: Vaša kartica je spremna za preuzimanje u poslovnici Hifa.,legitimate,bs,bank,notification,FALSE,FALSE,latin
160,Sparkasse BiH: Vaša kartica je privremeno blokirana na Vaš zahtjev. Za deblokadu posjetite filijalu.,legitimate,bs,unknown,tricky,FALSE,TRUE,latin
161,Рајфајзен: Ваш налог је успешно верификован након рутинске провере. Све трансакције су поново омогућене. Хвала на разумевању.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
162,Platite carinu od 200 RSD da biste oslobodili pošiljku.,phishing,sr,post,urgency,FALSE,FALSE,latin
163,Уникредит: Ваш токен је истекао. Генеришите нови: https://unicredit-token.rs,phishing,sr,bank,urgency,TRUE,TRUE,cyrillic
164,A1: Roaming je isključen za Vaš broj. Za aktivaciju pošaljite SMS 'ROAM' na 1234.,legitimate,sr,telecom,notification,FALSE,FALSE,latin
165,А1 Србија: Роаминг је искључен за ваш број. За активацију пошаљите SMS са текстом ROAM на 1234.,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
166,PostExpress: Dostava je zakazana za sutra između 10-14h. Bićete obavešteni SMS-om pre dolaska.,legitimate,sr,unknown,unknown,FALSE,FALSE,latin
167,Unesite SMS kod koji vam je stigao na broj za potvrdu.,phishing,sr,account,data_harvesting,FALSE,FALSE,latin
168,BH Telecom: Vaša pretplata ističe za 3 dana. Produžite: https://bhtelecom-obnova.ba,phishing,bs,telecom,urgency,TRUE,TRUE,latin
169,Глово: Ваша наруџбина је отказана од стране ресторана. Износ је враћен на рачун.,legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
170,Mercator BiH: Vaša Mercator kartica je aktivirana. Prvih 10 dana dupli bodovi!,legitimate,bs,shopping,promotion,FALSE,FALSE,latin
171,NLB Banka CG: Vaš token kod je 847392. Važi 60 sekundi. Nikome ne šaljite ovaj kod.,legitimate,me,unknown,tricky,FALSE,FALSE,latin
172,CERT CG: Ažurirajte antivirus i nemojte otvarati priloge iz sumnjivih SMS poruka.,legitimate,me,security,notice,FALSE,FALSE,latin
173,Vaš nalog će biti trajno obrisan za 24h! Potvrdite odmah.,phishing,sr,account,urgency,FALSE,TRUE,latin
174,ДЕxпресс: Курир вас није затекао на адреси. Пакет је у најближој експозитури (Врачар). Преузмите уз личну карту. Контакт: 011 333 4444,legitimate,sr,unknown,tricky,FALSE,FALSE,cyrillic
175,Пошта Србије: Обавештење о царини – уплатите 550 RSD: https://posta-carina.net,phishing,sr,post,urgency,TRUE,TRUE,cyrillic
176,OTP banka: Hitno ažuriranje podataka potrebno. Rok: 12h: https://otp-update.rs,phishing,sr,bank,urgency,TRUE,TRUE,latin
177,Vasa narudzbina ceka potvrdu placanja.,phishing,sr,shopping,ascii_approximation,FALSE,FALSE,latin
178,"Рајфајзен: Ваша картица ****2291 коришћена је за online куповину од 2.450 RSD. Ако нисте ви, блокирајте картицу у апликацији.",legitimate,sr,unknown,unknown,FALSE,FALSE,cyrillic
